dispute_id,old_category,new_category,Description,Reasoning
gen_visa_12.1_narrative,general,processing_error,"Hello, I hope this message finds you well. I recently noticed a charge on my Visa card that seemed a bit off. It was a lovely day, and I was just enjoying my morning coffee when I decided to check my account. To my surprise, there was a transaction that appeared much later than expected. I remember making the purchase weeks ago, and it just showed up now. Could you please help me understand why this happened? Thank you so much for your assistance. (Network: Visa)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Late Presentment') (visa/12.1).
gen_visa_12.1_ambiguous,general,processing_error,I noticed something odd with my recent statement. It seems like things aren't lining up as they should. Could you take a look? (Network: Visa),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Late Presentment') (visa/12.1).
gen_visa_12.2_emotional,general,incorrect_amount,WHY is there a WRONG charge on my card?! FIX THIS NOW! (Network: Visa),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Incorrect Transaction Code') (visa/12.2).
gen_visa_12.2_narrative,general,processing_error,"Hello, I hope this message finds you well. I was just going through my credit card statement while sipping my morning coffee, and I noticed something odd. There seems to be a transaction that doesn't quite match what I remember doing. I was sure I only bought groceries last week, but there's this charge that seems out of place. Could you please help me understand what's going on? Thank you so much for your assistance! (Network: Visa)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Incorrect Transaction Code') (visa/12.2).
gen_visa_12.2_ambiguous,general,processing_error,I was reviewing my recent activities and noticed something that doesn't align with my usual spending habits. It's like a puzzle piece that doesn't fit. Could you help clarify this for me? (Network: Visa),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Incorrect Transaction Code') (visa/12.2).
gen_visa_12.4_emotional,general,incorrect_amount,FIX THIS NOW! Wrong account number! I NEED MY MONEY BACK ASAP! (Network: Visa),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Incorrect Account Number') (visa/12.4).
gen_visa_12.4_narrative,general,processing_error,"Hello there, I hope you're having a wonderful day. I was just going through my statements while sipping my morning coffee, and I noticed something odd. It seems like there's a transaction linked to an account number that doesn't match mine. I double-checked my records, and I'm quite certain there's been a mix-up. Could you please look into this for me? Thank you so much for your help! (Network: Visa)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Incorrect Account Number') (visa/12.4).
gen_visa_12.4_ambiguous,general,processing_error,I was reviewing my recent transactions and noticed something peculiar. It seems like the details don't quite align with what I expected. Could you help clarify this for me? (Network: Visa),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Incorrect Account Number') (visa/12.4).
gen_visa_12.5_emotional,general,incorrect_amount,WHY IS MY BILL WRONG? FIX THIS NOW! I DIDN'T SPEND THAT MUCH! (Network: Visa),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Incorrect Amount') (visa/12.5).
gen_visa_12.5_narrative,general,incorrect_amount,"Hello, I hope you're having a good day. I was just going through my credit card statement while sipping my morning coffee, and I noticed something odd. It seems the amount charged for my recent purchase at the bookstore is higher than what I remember paying. I distinctly recall the cashier saying it was $25, but my statement shows $35. Could you please help me understand this discrepancy? Thank you so much for your assistance! (Network: Visa)",Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Incorrect Amount') (visa/12.5).
gen_visa_12.5_ambiguous,general,incorrect_amount,"I was reviewing my recent transactions and noticed something that doesn't quite add up. It's like when you expect a certain number of apples in a basket, but there are more than you remember picking. Could you help clarify this for me? (Network: Visa)",Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Incorrect Amount') (visa/12.5).
gen_visa_12.3_emotional,general,incorrect_amount,WHY was I charged in euros?! FIX THIS NOW! I want my money back! (Network: Visa),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Incorrect Currency') (visa/12.3).
gen_visa_12.3_narrative,general,incorrect_amount,"Hello there, I hope you're having a wonderful day. I recently made a purchase while on a trip to Paris, and I was expecting the charge to be in dollars, as that's what I usually see. However, when I checked my statement, it was in euros, which was quite surprising. I was just wondering if there might have been a mix-up or if there's something I might have missed. Thank you for your help! (Network: Visa)",Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Incorrect Currency') (visa/12.3).
gen_visa_12.3_ambiguous,general,incorrect_amount,I noticed something odd on my statement after my recent trip. The numbers don't quite add up the way I expected. Could you take a look and let me know what's going on? (Network: Visa),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Incorrect Currency') (visa/12.3).
gen_visa_12.7_emotional,general,incorrect_amount,WHY is my card charged? FIX THIS NOW! I DIDN'T AUTHORIZE! (Network: Visa),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Invalid Data') (visa/12.7).
gen_visa_12.7_narrative,general,incorrect_amount,"Hello, I hope this message finds you well. I was just going through my credit card statement while sipping my morning coffee, and I noticed something odd. There's a charge that doesn't seem right. I remember using my card at the grocery store last week, but this amount doesn't match any of my receipts. Could you please help me understand what's going on? Thank you so much for your assistance! (Network: Visa)",Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Invalid Data') (visa/12.7).
gen_visa_12.7_ambiguous,general,processing_error,"I was reviewing my recent transactions and noticed something peculiar. It seems like there's a mismatch somewhere, and I'm not sure how it happened. Could you take a closer look at this for me? (Network: Visa)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Invalid Data') (visa/12.7).
gen_visa_13.8_emotional,general,credit_not_processed,WHY was my refund not processed?! FIX THIS NOW! I'm FURIOUS! (Network: Visa),Refined general → credit_not_processed because the catalog description is credit-related ('Original Credit Transaction Not Accepted') and the text discusses refund/credit timing (visa/13.8).
gen_visa_13.8_narrative,general,credit_not_processed,"Hello there, I hope you're having a good day. I recently tried to return an item I purchased, and the merchant assured me that the refund would be processed back to my card. However, it's been over two weeks, and I haven't seen any changes in my account. I even called the store, and they confirmed the transaction was completed on their end. I'm a bit puzzled and would appreciate any help you can provide. Thank you! (Network: Visa)",Refined general → credit_not_processed because the catalog description is credit-related ('Original Credit Transaction Not Accepted') and the text discusses refund/credit timing (visa/13.8).
gen_visa_13.8_ambiguous,general,credit_not_processed,I noticed something odd with my account. It seems like something I expected didn't quite happen. Could you look into it? (Network: Visa),Refined general → credit_not_processed because the catalog description is credit-related ('Original Credit Transaction Not Accepted') and the text discusses refund/credit timing (visa/13.8).
